name,type,source_titles_match,source_values_match,description
reference_date,string,meta:peildatum,,Date of measurement
reference_year,integer,,,
board_id,string,BEVOEGD GEZAG,,
brin,string,BRIN NUMMER,,
subject,string,VAK,,
degree,integer,GRAAD,,
staff,integer,AANTAL PERSONEN (?P<reference_year>\d+),,
staff_male,integer,MANNEN (?P<reference_year>\d+),,
staff_female,integer,VROUWEN (?P<reference_year>\d+),,
staff_gender_unknown,integer,GESLACHT ONBEKEND(?P<reference_year>\d+),,
staff_temp,integer,AANTAL PERSONEN IN TIJDELIJKE DIENST (?P<reference_year>\d+),,
staff_perm,integer,AANTAL PERSONEN IN VASTE DIENST (?P<reference_year>\d+),,
staff_sub,integer,AANTAL PERSONEN IN DIENST ALS VERVANGING (?P<reference_year>\d+),,
staff_not_app,integer,AANTAL PERSONEN IN DIENST ZONDER BENOEMING (?P<reference_year>\d+),,not appointed
staff_unk,integer,AANTAL PERSONEN IN DIENST ALS ONBEKEND (?P<reference_year>\d+),,appointment unknown
staff_age_range,string,,,
staff_age_count,integer,AANTAL PERSONEN (?P<staff_age_range>.+) JAAR (?P<reference_year>\d+),,
staff_age_count,integer,(?P<staff_age_range>LEEFTIJD ONBEKEND) (?P<reference_year>\d+),,
age_mean,number,GEMIDDELDE LEEFTIJD (?P<reference_year>\d+),,
age_mean_male,number,GEMIDDELDE LEEFTIJD MAN (?P<reference_year>\d+),,
age_mean_female,number,GEMIDDELDE LEEFTIJD VROUW (?P<reference_year>\d+),,
