source;keyed;field;type;description
;0;reference_year;int;
;2;age_range;age_range;
;2;fte_range;fte_range;
ONDERWIJSTYPE;;;;
BEVOEGD GEZAG;;;;
BRIN NUMMER;0;brin;string;
FUNCTIEGROEP;1;fg;string;
PERSONEN (?P<year>\d{4});;pers;int;
MANNEN (?P<year>\d{4});;male;int;
VROUWEN (?P<year>\d{4});;female;int;
GESLACHT ONBEKEND (?P<year>\d{4});;gender_unkown;int;
GEMIDDELDE LEEFTIJD (?P<year>\d{4});;mean_age;float;
GEMIDDELDE LEEFTIJD MAN (?P<year>\d{4});;mean_age_male;float;
GEMIDDELDE LEEFTIJD VROUW (?P<year>\d{4});;mean_age_female;float;
PERSONEN (?P<age_range>.+?) JAAR (?P<year>\d{4});;staff_age;int;
LEEFTIJD ONBEKEND (?P<year>\d{4});;staff_age_unkown;int;
GEMIDDELDE FTE'S (?P<year>\d{4});;mean_fte;float;
PERSONEN (?P<fte_range>.+?) FTE'S (?P<year>\d{4});;staff_fte;int;
PERSONEN IN TIJDELIJKE DIENST (?P<year>\d{4});;staff_temp;int;
PERSONEN IN VASTE DIENST (?P<year>\d{4});;staff_perm;int;
