Field;Type;Original term;Description
capitalization_ratio;float;Kapitalisatiefactor;
contract_activities_div_gov_funding;float;Contractactiviteiten/rijksbijdragen;
contractactivities_div_total_profits;float;Contractactiviteiten/totale baten;
equity_div_total_profits;float;Eigen vermogen/totale baten;
facilities_div_total_profits;float;Voorzieningen/totale baten;
general_reserve_div_total_income;float;Algemene reserve/totale baten;
gov_funding_div_total_profits;float;Rijksbijdragen/totale baten;
group;string;Groepering;
housing_expenses_div_total_expenses;float;Huisvestingslasten/totale lasten;
housing_investment_div_total_profits;float;Investering huisvesting/totale baten;
investments_div_total_profits;float;Investeringen/totale baten;
investments_relative_to_equity;float;Beleggingen t.o.v. eigen vermogen;
liquidity_current_ratio;float;Liquiditeit (current ratio);
liquidity_quick_ratio;float;Liquiditeit (quick ratio);
operating_capital_div_total_profits;float;Werkkapitaal/totale baten;
operating_capital;float;Werkkapitaal;
other_gov_funding_div_total_profits;float;Overige overheidsbijdragen/totale baten;
profitability;float;Rentabiliteit;
solvency_1;float;Solvabiliteit 1;
solvency_2;float;Solvabiliteit 2;
staff_costs_div_gov_funding;float;Personeel/rijksbijdragen;
staff_expenses_div_total_expenses;float;Personele lasten/totale lasten;
year;integer;;
