Field;Type;Original term;Description
address;:ref:`duoaddress`;;Address of this branch.
board_id;integer;;Identifier (assigned by :ref:`duodata`) of the board of this branch.
branch_id;integer;;Identifier (assigned by :ref:`duodata`) of this branch.
brin;string;;'Basis Registratie Instellingen-nummer', identifier of the school this branch belongs to. Alphanumeric, four characters long.
corop_area;string;`COROP-gebied`_;A COROP area in the Netherlands is a region consisting of several municipalities, and is primarily used by research institutions to present statistical data.
corop_area_code;integer;;Identifier of the corop_area.
correspondence_address;:ref:`duoaddress`;;Correspondence address of this branch.
denomination;string;;In the Netherlands, schools can be based on a (religious [#denomination]_) conviction, which is denoted here.
education_area;string;`Onderwijsgebied`_;Education areas are aggregations of nodal areas based on regional origins and destinations of students in secondary education.
education_area_code;integer;;Identifier of the education_area.
education_structures;array;;An array of strings, where each string represents the level of education [#edu_in_holland]_ (education structure) that is offered at this school.
havo_exam_grades_per_course;array of :ref:`gradespercourse`;Cijfers per vak per jaar;Grades per course per year for the HAVO section of this school.
havo_exam_grades_reference_date;date;;
havo_exam_grades_reference_url;string;;URL to the vmbo exam grades per course source file at http://data.duo.nl/
meta;:ref:`duometa`;;Metadata, such as date of scrape and whether this item passed validation.
municipality;string;;The name of the municipality this branch is located in.
municipality_code;integer;;Identifier (assigned by CBS [#cbs]_) to this municipality.
name;string;;Name of the school.
nodal_area;string;`Nodaal gebied`_;Area defined for the planning of distribution of secondary schools.
nodal_area_code;integer;;Identifier of the nodal_area.
phone;string;;Phone number of the school.
province;string;;The province [#provinces]_ this branch is situated in.
reference_year;integer;Peiljaar;Year the schools source file was published.
rmc_region;string;`Rmc-regio`_;Area that is used for the coordination of school dropouts.
rmc_region_code;integer;;Identifier of the rmc_region.
rpa_area;string;`Rpa-gebied`_;Area defined to cluster information on the labour market.
rpa_area_code;integer;;Identifier of the rpa_area.
student_residences;:ref:`duostdres`;;Array of :ref:`duostdres`, where each item contains the distribution of students from a given municipality over the years in this branch.
student_residences_reference_date;date;Peildatum;Date the student residences source file was published at http://data.duo.nl
student_residences_reference_url;string;;URL of the student residences source file.
students_by_structure;:ref:`duostdstruct`;;Distribution of students by education structure and gender.
students_by_structure_reference_date;date;Peildatum;Date the student per structure source file was published at http://data.duo.nl
students_by_structure_url;string;;URL of the student by structure source file.
graduations;array of :ref:`graduation`;Examenkandidaten en geslaagden;Array of :ref:`graduation` where each item represents a school year. For each year information on the number of passed, failed and candidates is available. A futher breakdown in department and gender is also available.
graduations_reference_date;date;Peildatum;Date the graduations source file was published at http://data.duo.nl
graduations_reference_url;string;;URL to the dropouts source file at http://data.duo.nl/
exam_grades;array of :ref:`examgrades`;Eindcijfers;School and central exam grades per education structure and sector.
exam_grades_reference_date;date;Peildatum;Date the exam grades source file was published at http://data/duo.nl/
exam_grades_reference_url;string;;URL to the exam grades source file at http://data.duo.nl/
vmbo_exam_grades_per_course;array of :ref:`gradespercourse`;Cijfers per vak per jaar;Grades per course per year for the VMBO section of this school.
vmbo_exam_grades_reference_date;date;;
vmbo_exam_grades_reference_url;string;;URL to the vmbo exam grades per course source file at http://data.duo.nl/
vwo_exam_grades_per_course;array of :ref:`gradespercourse`;Cijfers per vak per jaar;Grades per course per year for the VWO section of this school.
vwo_exam_grades_reference_date;date;;
vwo_exam_grades_reference_url;string;;URL to the vmbo exam grades per course source file at http://data.duo.nl/
website;string;;Website of this school.
wgr_area;string;`Wgr-gebied`_;Cluster of municipalities per collaborating region according to the 'Wet gemeenschappelijke regelingen' [#wgr_law]_.
wgr_area_code;integer;;Identifier of the wgr_area.
