Field,Type,Original term,Description
"address",":ref:`duo-Address`","","Address of this board."
"correspondence_address",":ref:`duo-Address`","","Correspondence address of this board."
"board_id","integer","Bevoegd gezag nummer","Identifier (assigned by :ref:`duodata`) of the board of this branch."
"name","string","Bevoegd gezag naam","Name of the board."
"phone","string","Telefoonnummer","Phone number of the board."
"municipality","string","Gemeente","The name of the municipality this board is located in."
"municipality_code","integer","Gemeentenummer","Identifier (assigned by CBS [#cbs]_) to this municipality."
"administrative_office_id","integer","Administratiekantoor","Identifier (assigned by :ref:`duodata`) for the accountancy firm that manages this board finances."
"denomination","string","Denominatie","In the Netherlands, schools can be based on a (religious [#denomination]_) conviction, which is denoted here."
"reference_year","integer","Peiljaar","Year the boards source file was published"
"website","string","","URL of the webpage of the board."
"financial_key_indicators_per_year_reference_date","date","Peiljaar","Date the financial key indicator source file was published at http://data.duo.nl"
"financial_key_indicators_per_year_url","string","","Financial Key Indicators Per Year Url"
