Field,Type,Original term,Description
address,:ref:`schoolvoaddress`,,Address of the branch.
avg_education_hours_per_student,array of :ref:`eduhours`,,"Array of :ref:`eduhours`, representing how many hours of education were planned for a year, and how many are actually realised."
avg_education_hours_per_student_url,string,,URL to the *Onderwijstijd* page.
board,string,,The name of the board of this school.
board_id,integer,,Identifier (assigned by :ref:`duodata`) of the board of this branch.
branch_id,integer,,Identifier (assigned by :ref:`duodata`) of this branch.
brin,string,,"'Basis Registratie Instellingen-nummer', identifier of the school this branch belongs to. Alphanumeric, four characters long."
building_img_url,string,,URL to a photo of the building of this branch.
costs,:ref:`costs`,,Object representing the costs a parent can expect for this branch.
costs_url,string,,URL to the *Onderwijskosten* page.
denomination,string,,"In the Netherlands, schools can be based on a (religious [#denomination]_) conviction, which is denoted here."
education_structures,array,,"An array of strings, where each string represents the level of education [#edu_in_holland]_ (education structure) that is offered at this school."
email,string,,Email address of this branch.
logo_img_url,string,,URL to a photo of the logo of the school of this branch.
meta,:ref:`schoolvometa`,,"Metadata, such as date of scrape and whether this item passed validation."
municipality,string,,The name of the municipality this branch is located in.
municipality_code,integer,,Identifier (assigned by CBS [#cbs]_) to this municipality.
name,string,,Name of the branch of this school.
parent_satisfaction,array of :ref:`satisfaction`,,Satisfaction polls of parents.
parent_satisfaction_url,string,,URL to the *Tevredenheid ouders* page.
phone,string,,Unnormalised string representing the phone number of this branch.
profile,string,,Short description of the motto of this branch.
province,string,,The province [#provinces]_ this branch is situated in.
schoolkompas_status_id,integer,,Identifier used at http://schoolkompas.nl. Use unknown.
schoolvo_code,string,,"Identifier used at http://schoolvo.nl. Consists of the board_id, brin and branch_id, separated by dashes. A school page can be accessed at `http://schoolvo.nl/?p_schoolcode=`\ *<schoolvo_code>*."
schoolvo_id,integer,,Identifier used at schoolvo internally.
schoolvo_status_id,integer,,Use unknown.
student_satisfaction,array of :ref:`satisfaction`,,Satisfaction polls of students.
student_satisfaction_url,string,,URL to the *Tevredenheid leerlingen* page.
website,string,,URL of the website of the school.
